nr;modelname;test_acc
0;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch20;0.4112
1;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch130;0.4175
2;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch150;0.4186
3;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch70;0.4197
4;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch110;0.4272
5;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch100;0.435
6;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch60;0.4416
7;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch90;0.4507
8;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch30;0.4538
9;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch140;0.4622
10;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch120;0.4674
11;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch80;0.4753
12;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch30;0.4891
13;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch190;0.4969
14;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch200;0.4996
15;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch140;0.5019
16;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch210;0.5033
17;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch220;0.5051
18;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch170;0.5093
19;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch160;0.5161
20;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch180;0.5226
21;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch40;0.5269
22;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch10;0.5297
23;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch230;0.5384
24;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch250;0.5462
25;densenet7_250epochs_2020-01-17_15-18-37-417855_epoch240;0.5473
26;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch50;0.5474
27;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch80;0.5517
28;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch10;0.5536
29;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch20;0.5589
30;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch70;0.5594
31;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch10;0.5643
32;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch60;0.5703
33;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch50;0.5768
34;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch150;0.5819
35;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch40;0.582
36;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch30;0.5837
37;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch100;0.5888
38;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch110;0.5914
39;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch80;0.6039
40;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch50;0.6058
41;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch90;0.6083
42;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch70;0.6091
43;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch90;0.6092
44;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch10;0.6127
45;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch90;0.6129
46;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch120;0.6148
47;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch30;0.6168
48;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch130;0.6169
49;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch140;0.6174
50;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch30;0.6244
51;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch150;0.6246
52;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch110;0.6258
53;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch120;0.6276
54;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch150;0.6279
55;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch110;0.6302
56;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch120;0.6305
57;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch140;0.6323
58;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch140;0.633
59;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch130;0.6339
60;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch80;0.6349
61;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch20;0.635
62;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch80;0.6361
63;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch10;0.6379
64;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch80;0.6391
65;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch70;0.6438
66;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch150;0.6453
67;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch60;0.6458
68;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch130;0.6497
69;vgg19_bn_250epochs_2020-01-18_00-18-21-326666_epoch10;0.6499
